reference_fiche;ndeg_de_version;nature_juridique_du_rappel;categorie_de_produit;sous_categorie_de_produit;nom_de_la_marque_du_produit;noms_des_modeles_ou_references;identification_des_produits;conditionnements;date_debut_fin_de_commercialisation;temperature_de_conservation;marque_de_salubrite;informations_complementaires;zone_geographique_de_vente;distributeurs;motif_du_rappel;risques_encourus_par_le_consommateur;preconisations_sanitaires;description_complementaire_du_risque;conduites_a_tenir_par_le_consommateur;numero_de_contact;modalites_de_compensation;date_de_fin_de_la_procedure_de_rappel;informations_complementaires_publiques;lien_vers_la_liste_des_images;lien_vers_la_liste_des_produits;lien_vers_l_affichette_pdf;date_ref
2021-04-0005;1;Volontaire;Alimentation;Autres;MARQUE NEUTRE;EXCELLENTE BOUCHEE A LA REINE;3273230249526 01794546 Date limite de consommation 21/03/2021 3273230249526 01797956 Date limite de consommation 21/03/2021 3273230249526 01803935 Date limite de consommation 22/03/2021 3273230249526 01810426 Date limite de consommation 26/03/2021 3273230249526 01817022 Date limite de consommation 26/03/2021 3273230249526 01823039 Date limite de consommation 29/03/2021 3273230249526 01826328 Date limite de consommation 02/04/2021 3273230249526 01829650 Date limite de consommation 02/04/2021 3273230249526 01836249 Date limite de consommation 04/04/2021 3273230249526 01842343 Date limite de consommation 05/04/2021;VENTE AU RAYON TRADITIONNEL;Du 04/03/2021 au 25/03/2021;Produit à conserver au réfrigérateur;FR 29.233.001 CE;;France entière;ATAC, AUCHAN, CANTREL SALAISON SARL, CARREFOUR, CORA, INTERMARCHE, LECLERC, LKB INTERNATIONAL, SYSTEME U;potentielle contamination par des résidus de produits chimiques;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit;800216085;Remboursement;samedi 10 avril 2021;;http://rappel.conso.gouv.fr/image/381486bd-7d0f-40dd-8e92-ae5be0ec66d3.jpg;;http://rappel.conso.gouv.fr/affichettePDF/56/Interne;2021-04
2021-04-0006;1;Volontaire;Alimentation;Autres;MARQUE NEUTRE;EXCELLENT GNOCCHI;3273230249632 01803937 Date limite de consommation 23/03/2021 3273230249632 01813741 Date limite de consommation 26/03/2021 3273230249632 01832986 Date limite de consommation 02/04/2021;VENTE AU RAYON TRADITIONNEL;Du 09/03/2021 au 23/04/2021;Produit à conserver au réfrigérateur;FR 29.233.001 CE;;France entière;ATAC, AUCHAN, CANTREL SALAISON SARL, CARREFOUR, CORA, INTERMARCHE, LECLERC, SYSTEME U;potentielle contamination par des résidus de produits chimiques;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit;800216085;Remboursement;samedi 10 avril 2021;;http://rappel.conso.gouv.fr/image/1e2a9f48-c564-41d8-bae2-d79126539172.jpg;;http://rappel.conso.gouv.fr/affichettePDF/57/Interne;2021-04
2021-04-0007;1;Volontaire;Bébés-Enfants (hors alimentaire);Jouets;Produits vendus sur le site Le Créatif;Ballons de baudruche du jeu SOUFFLY / Pumping Car;646A-6 646A-12 646A-18;;;;;;France entière;Produit vendu par un tiers sur le site lecreatif.fr;Présence dans les ballons de baudruche de n nitrosamines en quantité supérieure au seuil prévu par la réglementation européenne;Intoxication;;Libération de substance toxique, cancérigène;Ne plus utiliser le produit Contacter le point de vente;;Autre (voir informations complémentaires);;La société LE MARCHE D'A COTE - site internet Le Créatif.fr demande aux consommateurs ayant fait l'acquisition de ce jouet de le renvoyer à l'adresse suivante : Avenue du Général de Gaulle FR-77600 - BUSSY SAINT GEORGES pour un remboursement partiel.;http://rappel.conso.gouv.fr/image/59e58ffa-5f69-4d2a-ac41-e924a6ab4dd3.jpg http://rappel.conso.gouv.fr/image/bdae107f-7983-4697-860d-8f638d47eb6b.jpg http://rappel.conso.gouv.fr/image/c976c0d7-d0b1-4b5a-b8fa-27ed35d98d9b.jpg;http://rappel.conso.gouv.fr/document/5e1faf2a-eab6-487d-8ec1-2d84f058c42a/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/58/Interne;2021-04
2021-04-0008;1;Volontaire;Alimentation;Produits sucrés;AUCHAN/POUCE;BARRES DE CEREALES CHOCOLAT/BANANE;3596710061723 A229356 Date de durabilité minimale 10/12/2021;;Du 15/01/2021 au 31/03/2021;Produit à conserver à température ambiante;;;France entière;AUCHAN, Réseaux distribuant les produits à marque Auchan;ALLERGENE NON INDIQUE;Substances allergisantes non déclarées;;Risque allergènes arachides (cacahuètes) sur ce produit, non mentionné sur l’étiquetage;Ne plus consommer Rapporter le produit au point de vente;359305930;Remboursement;jeudi 15 avril 2021;"Il est demandé aux personnes les ayant achetés de ne pas les consommer en cas d’allergie aux arachides et
de les rapporter au magasin.";http://rappel.conso.gouv.fr/image/5858bdff-89bd-4858-aaf3-930e27592e19.jpg;;http://rappel.conso.gouv.fr/affichettePDF/59/Interne;2021-04
2021-04-0003;2;Volontaire;Alimentation;Autres;AUCHAN;GNOCCHI GRATINÉ x 2;3254567601905 01813810 Date limite de consommation 26/03/2021 3254567601905 01833055 Date limite de consommation 02/04/2021;barquette plastique;Du 05/03/2021 au 27/03/2021;Produit à conserver au réfrigérateur;FR 29.233.001 CE;;France entière;AUCHAN;potentielle contamination par des résidus de produits chimiques;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit;800216085;Remboursement;samedi 10 avril 2021;;http://rappel.conso.gouv.fr/image/d5a53172-4ac0-43ff-82ec-d4dd939d0242.jpg;;http://rappel.conso.gouv.fr/affichettePDF/60/Interne;2021-04
2021-04-0010;1;Imposé par l’administration;Alimentation;Cacao, café et thé;GRAIN DE SAIL;Tablette de chocolat Noir aux sésames torréfiés BIO 100g;3760226260493 CH21019 _ 10:00 Date de durabilité minimale 19/01/2022 3760226260493 CH21022 _ 10:00 Date de durabilité minimale 22/01/2022 3760226260493 CH21049 _ 12:30 Date de durabilité minimale 18/02/2022;Tablette de 100g;Du 01/02/2021 au 02/04/2021;Produit à conserver à température ambiante;;Tablette de 100g;France entière;Aldouest, Carrefour, Coopérative U,   ITM,  Scarmor,  Leclerc, Auchan, Casino, Distribution Casino, Cora,  La coop Bio, Spar;Teneur d’oxyde d’éthylène supérieure à la règlementation Européenne en vigueur sur le sésame mis en œuvre dans les tablettes chocolat noir sésame.;Produits phytosanitaires non autorisés Dépassement des limites autorisées de pesticides;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;298624091;Autre (voir informations complémentaires);samedi 17 avril 2021;Teneur en oxyde d'éthylène non conforme à la réglementation européenne en vigueur;http://rappel.conso.gouv.fr/image/ebdace0b-e1ee-4191-8c9c-4825c96fa9da.jpg;;http://rappel.conso.gouv.fr/affichettePDF/62/Interne;2021-04
2021-04-0012;1;Volontaire;Alimentation;Céréales et produits de boulangerie;Sans marque;"Paris-Brest individuel x1
Paris-Brest individuel x2
Paris-Brest 6 personnes";Tous les lots Date limite de consommation entre le 23/03/2002 et le 06/04/2002;individuel x1 / individuel x2 / 6 personnes;Du 23/03/2021 au 02/04/2021;Produit à conserver au réfrigérateur;;Paris-Brest praliné;DIEPPE;E.LECLERC DIEPPE;Présence potentielle de corps étrangers métalliques;Inertes (verre, métal, plastique, papier, textile…);En raison du risque de blessures / effets indésirables suite à l'ingestion de ce produit, par précaution il est recommandé aux personnes qui détiendraient des produits appartenant au(x) lot(s) décrit(s) ci-dessus de ne pas les consommer.;;Ne plus consommer Rapporter le produit au point de vente;235825695;Remboursement;samedi 17 avril 2021;;http://rappel.conso.gouv.fr/image/3e00cf25-7661-4534-9268-c3bc5919d9e3.jpg;;http://rappel.conso.gouv.fr/affichettePDF/64/Interne;2021-04
2021-04-0013;1;Volontaire;Alimentation;Céréales et produits de boulangerie;HAPPY BIO;HB-OST.25 - Sésame Complet Grillé;3273120027357 00621 Date de durabilité minimale 06/07/2022 3273120027357 02521 Date de durabilité minimale 25/07/2022 3273120027357 02621 Date de durabilité minimale 26/07/2022 3273120027357 04321 Date de durabilité minimale 12/08/2022 3273120027357 36320 Date de durabilité minimale 28/06/2022;;Depuis le 03/12/2020;Produit à conserver à température ambiante;;;France entière;"Carrefour
Intermarché
Leclerc
Auchan";Teneur en oxyde d'éthyléne supérieur à LMR;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;970820121;Remboursement;mercredi 2 juin 2021;;http://rappel.conso.gouv.fr/image/975080b7-0e19-4200-a12c-7f8e53a331bb.jpg http://rappel.conso.gouv.fr/image/20fb749e-7242-4e71-818b-34db39d26d76.jpg;http://rappel.conso.gouv.fr/document/b6c83b0e-a623-4fcc-bca3-72d6a8ff8c43/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/65/Interne;2021-04
2021-04-0014;1;Imposé par l’administration;Alimentation;Produits de la pêche et d'aquaculture;KERALIOU;40TE02;MB37766 MB37773TEL MB37761;;;Produit à conserver à température ambiante;;;France entière;INTERMARCHE;Présence de toxine ASP supérieure au seuil autorisé (30.8 mg pour 20mg);Biotoxines marines ASP (toxines amnésiantes);Les toxi-infections alimentaires causées par ces toxines se traduisent par des troubles digestifs (vomissements, douleurs abdominales, diarrhées) dans un délai de 2 à 24 heures suivant l'ingestion des coquillages contaminés. Ces troubles peuvent être suivis de sensations d'étourdissement, de maux de tête persistants, d'une désorientation et éventuellement d'une perte de la mémoire récente.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur Détruire le produit;;Remboursement;;;http://rappel.conso.gouv.fr/image/5d97632a-e1ed-467a-8315-22b7861b4882.jpg;;http://rappel.conso.gouv.fr/affichettePDF/66/Interne;2021-04
2021-04-0020;1;Volontaire;Alimentation;Céréales et produits de boulangerie;CELNAT;Référence CMDL - Mélange fondant aux 2 lentilles;13273120028849 500g - N°lot 05321 Date de durabilité minimale 22/05/2022;Emballage plastique - 500g;Depuis le 22/02/2021;Produit à conserver à température ambiante;;;France entière;Magasin spécialisé Bio et magasin chainé Bio;présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;471030414;Remboursement;lundi 19 avril 2021;;http://rappel.conso.gouv.fr/image/72f7eacd-4cf2-4c82-8611-281ca266dd87.jpg;http://rappel.conso.gouv.fr/document/4dc8f37d-a3ba-4c16-8b94-e52a19a2b9be/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/72/Interne;2021-04
2021-04-0021;1;Volontaire;Alimentation;Autres;ISPAGHUL;Boite de 200 gélules revêtue d'une tiquette;20555 Date limite de consommation 30/11/2023;Boite de 200 gélules;Du 02/12/2020 au 23/03/2021;Produit à conserver à température ambiante;;;France entière;Laboratoires Fenioux;Oxyde d'éthylène;Présence de substance interdite Dépassement des limites autorisées de pesticides;;Poudre d'Ipaghul non conforme en oxyde d'éthylène;Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit;254271694;Remboursement Autre (voir informations complémentaires);;Contacter les Laboratoires Fenioux pour un conseil de substitution de produit;http://rappel.conso.gouv.fr/image/429bc72e-a5ab-4c60-8c53-c8dd48f0095c.jpg;;http://rappel.conso.gouv.fr/affichettePDF/73/Interne;2021-04
2021-04-0022;1;Volontaire;Alimentation;Céréales et produits de boulangerie;CELNAT;Référence ES-ME - Muesli Etudiant  (Espagne);3273120014890 N°lot 05421 Date de durabilité minimale 23/05/2022;Emballage plastique - 500g;Depuis le 08/03/2021;Produit à conserver à température ambiante;;;France entière;Magasin spécialisé Bio et magasin chainé Bio;présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;471030414;Remboursement;lundi 19 avril 2021;;http://rappel.conso.gouv.fr/image/c19c5d3b-6bbf-4dd3-81fd-3fffe15bf43c.jpg;http://rappel.conso.gouv.fr/document/cc4f759c-5987-4ebe-bf32-3278a1f1010d/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/74/Interne;2021-04
2021-04-0023;1;Volontaire;Alimentation;Céréales et produits de boulangerie;CELNAT;Référence MA - Muesli EAntioxydant;3273120022918 N°lot 04921 Date de durabilité minimale 18/05/2022 3273120022918 N°lot 06821 Date de durabilité minimale 09/06/2022;Emballage plastique - 375g;Depuis le 26/02/2021;Produit à conserver à température ambiante;;;France entière;Magasin spécialisé Bio et magasin chainé Bio;présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;471030414;Remboursement;lundi 19 avril 2021;;http://rappel.conso.gouv.fr/image/39d04a87-e598-4a52-8c8c-a6fca97030d1.jpg;http://rappel.conso.gouv.fr/document/6984b8c2-a555-4daf-8e79-a23d17ae592d/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/75/Interne;2021-04
2021-04-0024;1;Volontaire;Alimentation;Céréales et produits de boulangerie;CELNAT;Référence MA/3 - Muesli Antioxydant;3273120029047 N°lot 06221 Date de durabilité minimale 03/03/2022;Sac papier - 3kg;Depuis le 04/03/2021;Produit à conserver à température ambiante;;;France entière;Magasin spécialisé Bio et magasin chainé Bio;présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;471030414;Remboursement;lundi 19 avril 2021;;http://rappel.conso.gouv.fr/image/f447d5f1-8f90-4c28-9b82-91420d30f48a.jpg;http://rappel.conso.gouv.fr/document/0524998d-622d-4049-bbdd-8fac32b527eb/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/76/Interne;2021-04
2021-04-0025;1;Volontaire;Alimentation;Céréales et produits de boulangerie;CELNAT;Référence ME - Muesli Etudiant;3273120014890 N°lot 03521 Date de durabilité minimale 05/05/2022 3273120014890 N°lot 05421 Date de durabilité minimale 23/05/2022 3273120014890 N°lot 06821 Date de durabilité minimale 09/06/2022;Emballage plastique _ 500G;Depuis le 17/02/2021;Produit à conserver à température ambiante;;;France entière;Magasin spécialisé Bio et magasin chainé Bio;présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;471030414;Remboursement;lundi 19 avril 2021;;http://rappel.conso.gouv.fr/image/ee1b85b3-f6bf-4c4f-82bd-1e470e9a31de.jpg;http://rappel.conso.gouv.fr/document/ac53370f-aed8-4b71-8668-88e6c955e017/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/77/Interne;2021-04
2021-04-0026;1;Volontaire;Alimentation;Céréales et produits de boulangerie;CELNAT;Référence ME/ - Muesli Etudiant 1kg;3273120028446 ME/ - 06821 Date de durabilité minimale 09/06/2022;Emballage plastique - 1kg;Depuis le 10/03/2021;Produit à conserver à température ambiante;;;France entière;Magasin spécialisé Bio et magasin chainé Bio;présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;471030414;Remboursement;lundi 19 avril 2021;;http://rappel.conso.gouv.fr/image/a091fa85-5a40-492b-8e11-fe685fc1be6d.jpg;http://rappel.conso.gouv.fr/document/5a0ae66c-25c9-4231-9004-e355aa0d6e41/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/78/Interne;2021-04
2021-04-0027;1;Volontaire;Alimentation;Céréales et produits de boulangerie;CELNAT;Référence ME/10 - Muesli Etudiant 10kg;3273120029092 ME/10 - 03521 Date de durabilité minimale 04/02/2022 3273120029092 ME/10 - 04821 Date de durabilité minimale 17/02/2022;Sac papier - 10kg;Depuis le 18/02/2021;Produit à conserver à température ambiante;;;France entière;Magasin spécialisé Bio et magasin chainé Bio;présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée;Autres contaminants chimiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Détruire le produit;471030414;Remboursement;lundi 19 avril 2021;;http://rappel.conso.gouv.fr/image/9a93c1da-7aa6-475e-aa63-19baa0e00439.jpg;http://rappel.conso.gouv.fr/document/aea7f28a-b570-4ddb-9145-b186cf94084d/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/79/Interne;2021-04
